Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Periodismo (español o bilingüe);8,903
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Relaciones Laborales y Empleo;7,503
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Sociología (español o bilingüe);7,294
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Sostenibilidad Urbana (Grado de la Alianza Europea YUFE);9,920
Universidad Carlos III de Madrid;Ciencias Sociales y Jurídicas;Turismo;6,836
Universidad Carlos III de Madrid;Dobles Grados;Ciencia e Ingeniería de Datos e Ingeniería en Tecnologías de Telecomunicación (bilingüe);12,124
Universidad Carlos III de Madrid;Dobles Grados;Ciencias Políticas y Sociología;9,041
Universidad Carlos III de Madrid;Dobles Grados;Derecho y Administración de Empresas (Colmenarejo);11,250
Universidad Carlos III de Madrid;Dobles Grados;Derecho y Administración de Empresas (español o bilingüe);12,600
Universidad Carlos III de Madrid;Dobles Grados;Derecho y Ciencias Políticas;11,178
Universidad Carlos III de Madrid;Dobles Grados;Derecho y Economía (español o bilingüe);12,239
Universidad Carlos III de Madrid;Dobles Grados;Estudios Internacionales y Administración de Empresas (en inglés);13,119
Universidad Carlos III de Madrid;Dobles Grados;Estudios Internacionales y Ciencias Políticas (bilingüe);12,475
Universidad Carlos III de Madrid;Dobles Grados;Estudios Internacionales y Derecho (bilingue);13,175
Universidad Carlos III de Madrid;Dobles Grados;Estudios Internacionales y Economía (en inglés);12,830
Universidad Carlos III de Madrid;Dobles Grados;Ingeniería Física e Ingeniería en Tecnologías Industriales (bilingüe);13,464
Universidad Carlos III de Madrid;Dobles Grados;Ingeniería Informática y Administración de Empresas (Colmenarejo);11,386
Universidad Carlos III de Madrid;Dobles Grados;Ingeniería Informática y Administración de Empresas (Leganes-Getafe);12,053
Universidad Carlos III de Madrid;Dobles Grados;Periodismo y Comunicación Audiovisual (español o bilingüe);10,939
Universidad Carlos III de Madrid;Dobles Grados;Periodismo y Humanidades;7,816
Universidad Carlos III de Madrid;Grados conjuntos;Ciencia, Tecnología y Humanidades (UAB, UAM y UC3M);5,000
Universidad Carlos III de Madrid;Grados conjuntos;Ciencias (UAB, UAM y UC3M);8,661
Universidad Carlos III de Madrid;Grados conjuntos;Filosofía, Política y Economía (bilingüe) (UAB, UAM, UC3M y UPF);12,104
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ciencia e Ingeniería de Datos (en inglés);11,556
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Aeroespacial (en inglés);13,300
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Biomédica (en inglés);12,843
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Electrónica Industrial y Automática (español o bilingüe);10,636
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Eléctrica (español o bilingüe);10,967
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Física (en inglés);13,225
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Informática (Colmenarejo);10,364
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Informática (español, bilingüe o inglés);10,978
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Mecánica (español o bilingüe);11,664
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería Robótica (en inglés);11,489
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería de Comunicaciones Móviles y Espaciales (español o bilingüe);10,253
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería de Internet;9,764
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería de Sonido e Imagen (español o bilingüe);10,115
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería de la Energía (en inglés);11,175
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnologías Industriales (español o bilingüe);11,966
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Ingeniería en Tecnologías de Telecomunicación (español o bilingüe);10,713
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Inteligencia Artificial;11,775
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Inteligencia Artificial (Colmenarejo);10,448
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Matemática Aplicada;12,024
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Matemáticas y Computación (en inglés);12,224
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Programa Académico de Ingeniería Industrial vía Grado en Ing. en Tecnologías Industriales (bilingüe-español);13,414
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Programa Académico de Ingeniería Informática vía Grado en Ing. Informática (bilingüe);12,825
Universidad Carlos III de Madrid;Ingeniería y Arquitectura;Programa Académico de Ingeniería de Telecomunicación vía Grado en Ing. en Tecnologías de Telecomunicación (bilingüe);12,889
Universidad Complutense de Madrid;Artes y Humanidades;Arqueología;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Bellas Artes;9,936
Universidad Complutense de Madrid;Artes y Humanidades;Ciencias de las Religiones;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Conservación y Restauración del Patrimonio Cultural;9,600
Universidad Complutense de Madrid;Artes y Humanidades;Diseño;11,650
Universidad Complutense de Madrid;Artes y Humanidades;Español: Lengua y Literatura;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Estudios Ingleses;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Estudios Semíticos e Islámicos;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Estudios Teatrales;5,378
Universidad Complutense de Madrid;Artes y Humanidades;Filología Clásica;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Filosofía;5,940
Universidad Complutense de Madrid;Artes y Humanidades;Filosofía, Política y Economía;8,384
Universidad Complutense de Madrid;Artes y Humanidades;Historia;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Historia del Arte;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Lenguas Modernas y sus Literaturas;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Lingüística y Lenguas Aplicadas;5,000
Universidad Complutense de Madrid;Artes y Humanidades;Literatura General y Comparada;5,000
