Nombre de la Universidad;Rama de estudios;Nombre de la titulación;Nota de corte ordinaria del grupo 1
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Magisterio de Educación Primaria (Guadalajara);8,700
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Magisterio de Educación Primaria (bilingüe) (docencia en inglés) (Guadalajara);5,561
Universidad de Alcalá;Ciencias Sociales y Jurídicas;Turismo (Guadalajara);5,000
Universidad de Alcalá;Ciencias de la Salud;Biología Sanitaria;11,839
Universidad de Alcalá;Ciencias de la Salud;Ciencias de la Actividad Física y del Deporte;10,325
Universidad de Alcalá;Ciencias de la Salud;Enfermería;11,426
Universidad de Alcalá;Ciencias de la Salud;Enfermería (Guadalajara);11,100
Universidad de Alcalá;Ciencias de la Salud;Enfermería (Torrejón de Ardoz);11,303
Universidad de Alcalá;Ciencias de la Salud;Farmacia;11,220
Universidad de Alcalá;Ciencias de la Salud;Fisioterapia;10,850
Universidad de Alcalá;Ciencias de la Salud;Fisioterapia (Torrejón de Ardoz);10,550
Universidad de Alcalá;Ciencias de la Salud;Medicina;12,871
Universidad de Alcalá;Dobles Grados;Derecho - Administración y Dirección de Empresas;9,516
Universidad de Alcalá;Dobles Grados;Estudios Ingleses - Lenguas Modernas y Traducción;9,334
Universidad de Alcalá;Dobles Grados;Humanidades - Magisterio en Educación Primaria;9,489
Universidad de Alcalá;Dobles Grados;Ingeniería Electrónica de Comunicaciones - Ing. Electrónica y Automática Industrial;8,987
Universidad de Alcalá;Dobles Grados;Ingeniería Informática - Administración y Dirección de Empresas;10,436
Universidad de Alcalá;Dobles Grados;Magisterio de Educación Infantil - Magisterio de Educación Primaria (Guadalajara);9,360
Universidad de Alcalá;Dobles Grados;Turismo - Admón. y Dirección de Empresas (Guadalajara);5,000
Universidad de Alcalá;Ingeniería y Arquitectura;Arquitectura Técnica y Edificación (Guadalajara);7,707
Universidad de Alcalá;Ingeniería y Arquitectura;Fundamentos de Arquitectura y Urbanismo;10,148
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería Electrónica de Comunicaciones;7,504
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería Electrónica y Automática Industrial;9,976
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería Informática;10,700
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería Telemática;7,575
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería de Computadores;8,575
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Sistemas de Información;8,139
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Sistemas de Telecomunicación;7,800
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Tecnologías Industriales;11,000
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Tecnologías Industriales + Master Universitario en Ing. Industrial;11,614
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Tecnologías de Telecomunicación;8,003
Universidad de Alcalá;Ingeniería y Arquitectura;Ingeniería en Tecnologías de Telecomunicación + Master Universitario en Ingeniería de Telecomunicaciones;8,553
Universidad de Alcalá;Ingeniería y Arquitectura;Matemáticas y Computación (Guadalajara);10,064
